text,predict
   30天甩掉小肚腩[给力] ，1分钟7个高强度减腹动作，充分燃烧腹部脂肪！连续坚持30天即可拥有马甲线或者6块腹肌！男人练腹肌，女人练马甲，胖子减肚皮！[来]别再躺着不动弹啦，赶紧马走，周末虐起来~全球健身中心的秒拍视频,1
   厉害了我的汪！[二哈]VS[doge] ，小时候看过《狮王争霸》，如今“狗王争霸”来了！居然还是三个机位混剪拍摄，大神在校园有木有！[笑cry][笑cry]秒拍视频 (转自网络),1
   这些精彩值得铭记[威武] ，首次太空种菜，首次将人类以外生物带上太空，最长航天员太空驻留时间…无论是发挥种族天赋，还是开展在轨试验，这次太空征程留下太多中国人的第一次。17日，神舟十一号飞船与天宫二号分离，航天员景海鹏、陈冬将返程。戳精彩记录↓↓，祝英雄平安回家[心],1
   这些精彩值得铭记[威武] ，首次太空种菜，首次将人类以外生物带上太空，最长航天员太空驻留时间…无论是发挥种族天赋，还是开展在轨试验，这次太空征程留下太多中国人的第一次。17日，神舟十一号飞船与天宫二号分离，航天员景海鹏、陈冬将返程。戳精彩记录↓↓，祝英雄平安回家[心],1
   这些精彩值得铭记[威武] ，首次太空种菜，首次将人类以外生物带上太空，最长航天员太空驻留时间…无论是发挥种族天赋，还是开展在轨试验，这次太空征程留下太多中国人的第一次。17日，神舟十一号飞船与天宫二号分离，航天员景海鹏、陈冬将返程。戳精彩记录↓↓，祝英雄平安回家[心],1
"  ""你再哭我真的不带你去了[doge]""……""不哭，我不哭……""讲真，奥斯卡欠小女孩一个影后！[偷笑]秒拍视频",1
  VR技术能否减少枪击致死事件？ ，在美国，每年都有大量公民死于警方枪击。根据华盛顿邮报的追踪，2015 年共有 990 人被警方杀死，而今年的数字也已经达到了 518 人。面对社会舆论的强大压力，警方不得不思考新的训练方法，包括对新科技的采用。目前，美国已经出现了上百个采用虚拟现实技术的训练中心?全文,1
  爱犬遭袋鼠锁喉 男子上前一拳将袋鼠打懵[二哈] ，自己的狗狗被一只袋鼠锁喉“绑架”。危急时刻，主人立马冲上去和袋鼠对峙，还给了它一拳！袋鼠傻了：我爸都没打过我！[哆啦A梦吃惊] 狗狗遭袋鼠锁喉 男子上前一拳将袋鼠打懵 （转）,1
  冬天有一种痛，南方人是不会懂的…[笑cry],1
  慢吞吞的树懒真的好蠢萌！一直在自己的节奏中荡漾着，开心着。[太开心]我的朋友是个呆B的秒拍视频,1
  普吉岛游客船倾覆中37人来自浙江海宁 海宁市已派工作组赴泰 ，截至今天凌晨，事故已造成1名中国游客溺亡，76名中国游客获救，另有数十人暂时无法核实下落。此次事...            ,1
  体态一定要优美，内心一定定要平和，表情一定要淡定…[二哈]当狗狗们做起瑜伽，简直就是——人生如此艰难，为何做瑜伽也不如狗？另喵星人表示不服！[喵喵]来，感受下这画风..... （网络）,1
  为了防止学生作弊，老师们也是操碎了心[二哈][笑cry][笑cry]网友：最后一张绝了！（网络）,1
  熊猫宝宝集体越狱，奶爸抓回去一只又逃出去两只，抓回去一只又逃出去一堆，太萌了， 心疼奶爸[笑cry] iPanda熊猫频道 秒拍视频,1
  一只为主人打节拍的金毛，看这怯怯的小眼神，就怕一个节奏没敲对被主人打，太魔性了…[doge][污]全球热门搜罗S的秒拍视频 (转自网络),1
  一组名为“你经历过绝望吗？”的图[哈哈]看到最后也是醉了！[笑cry][笑cry][偷笑]via.好奇博士,1
  赵丽颖 过生日上头条啦，颖宝宝已经入驻今日头条，欢迎来关注她的头条号，第一时间获取她的最新动态，视频详情请点这里：「明星上头条」我是赵丽颖，我在用今日头条,1
  这几秒，汪星人像是度过了一个世纪。。老虎：我先洗洗菜！[doge]via.冷笑话精选,1
  这是一只有故事的汪星人[doge]……人与狗之间的信任呢！[笑cry]秒拍视频,1
  周冬雨 上头条啦，周冬雨已经开通了她的头条号，欢迎来今日头条关注，第一时间获取她的最新动态，视频详情点这里：「明星上头条」我是周冬雨，我在用今日头条,1
  周海媚 上头条啦，周海媚已经开通了她的头条号，欢迎来今日头条关注，第一时间获取她的最新动态，视频详情点这里：「明星上头条」我是周海媚，我在用今日头条,1
" ""95后""求职简历：网游战绩强 开过淘宝店都是特长[思考] ，秋季招聘开始，首次登上求职舞台的""95后""大学生择业观有啥新特点？①简历更趋个性化，有""95后""把网游战绩、开淘宝店等写入简历，获得用人单位青睐;②城市选择面更广，杭州、南京等“新一线城市”吸引力迅速攀升;③创业精神受欢迎。你怎么看？",1
" ""八达岭老虎咬人案""当事女子上节目：妈妈会原谅我 ，29日，北京八达岭老虎袭人事件中，被咬伤的当事人赵菁在辽宁卫视一档节目中道歉，称主要责任在自己，即使妈妈能原谅，自己也原谅不了自己。她说：""我错了，因为我的疏忽大意造成了母亲永远离开了我…希望下辈子还做我的妈妈""。封面新闻的秒拍视频",1
" ""八达岭老虎咬人案""当事女子上节目：妈妈会原谅我 ，29日，北京八达岭老虎袭人事件中，被咬伤的当事人赵菁在辽宁卫视一档节目中道歉，称主要责任在自己，即使妈妈能原谅，自己也原谅不了自己。她说：""我错了，因为我的疏忽大意造成了母亲永远离开了我…希望下辈子还做我的妈妈""。封面新闻的秒拍视频",1
" ""百名红通人员""头号嫌犯杨秀珠从美国回国投案自首 ，今天,潜逃海外13年之久的“百名红通人员”头号嫌犯杨秀珠回国投案自首,这是第37名归案的""百名红通人员""。2014年以来，中央追逃办保持对她高压态势，同时劝其自首。她也由最初""死也要死在美国""，到最终主动撤销""避难""申请，作出回国投案自首的决定。",1
" ""孩子你怎么不开心？""其实他是学霸！[给劲] ，最近，这张合影照在网上火了…事情其实是这样的：孩子成绩是班上前几名，当天因为感冒已经睡下了，被叫起来合影时还没回过神来，并非不想写作业。或许媒体和网友的善意调侃打扰到了孩子的正常生活，希望此事归于平静，为暖心警察点赞，也祝孩子学业进步！",1
